2018-12-12T17:25:00.2392192+00:00 VideoStart  
2018-12-12T17:25:00.4185344+00:00 TrialRewardType FoodTrial 
2018-12-12T17:25:00.4190080+00:00 TrialBallType StableBall 
2018-12-12T17:25:04.7959168+00:00 TrialStart  
2018-12-12T17:25:05.0789888+00:00 BallOn  
2018-12-12T17:25:05.5583360+00:00 BallTracking (-0.6493874, -0.06720123) 
2018-12-12T17:25:05.5679744+00:00 BallTracking (-0.6544803, -0.06720123) 
2018-12-12T17:25:05.5763200+00:00 BallTracking (-0.6596299, -0.06720123) 
2018-12-12T17:25:05.5846400+00:00 BallTracking (-0.664836, -0.06720123) 
2018-12-12T17:25:05.5929856+00:00 BallTracking (-0.6700988, -0.06720123) 
2018-12-12T17:25:05.6013056+00:00 BallTracking (-0.6754181, -0.06720123) 
2018-12-12T17:25:05.6097152+00:00 BallTracking (-0.6807939, -0.06720123) 
2018-12-12T17:25:05.6179840+00:00 BallTracking (-0.6862264, -0.06720123) 
2018-12-12T17:25:05.6263040+00:00 BallTracking (-0.6917155, -0.06720123) 
2018-12-12T17:25:05.6346496+00:00 BallTracking (-0.6972612, -0.06720123) 
2018-12-12T17:25:05.6429696+00:00 BallTracking (-0.7028635, -0.06720123) 
2018-12-12T17:25:05.6513152+00:00 BallTracking (-0.7085223, -0.06720123) 
2018-12-12T17:25:05.6596480+00:00 BallTracking (-0.7142377, -0.06720123) 
2018-12-12T17:25:05.6681344+00:00 BallTracking (-0.7200097, -0.06720123) 
2018-12-12T17:25:05.6763264+00:00 BallTracking (-0.7258384, -0.06720123) 
2018-12-12T17:25:05.6846592+00:00 BallTracking (-0.7317235, -0.06720123) 
2018-12-12T17:25:05.6929920+00:00 BallTracking (-0.7376654, -0.06720123) 
2018-12-12T17:25:05.7013248+00:00 BallTracking (-0.7436637, -0.06720123) 
2018-12-12T17:25:05.7096576+00:00 BallTracking (-0.7497187, -0.06720123) 
2018-12-12T17:25:05.7180032+00:00 BallTracking (-0.7558302, -0.06720123) 
2018-12-12T17:25:05.7263232+00:00 BallTracking (-0.7619984, -0.06720123) 
2018-12-12T17:25:05.7346560+00:00 BallTracking (-0.7682231, -0.06720123) 
2018-12-12T17:25:05.7430016+00:00 BallTracking (-0.7745044, -0.06720123) 
2018-12-12T17:25:05.7513216+00:00 BallTracking (-0.7808423, -0.06720123) 
2018-12-12T17:25:05.7596544+00:00 BallTracking (-0.7872368, -0.06720123) 
2018-12-12T17:25:05.7680000+00:00 BallTracking (-0.7936879, -0.06720123) 
2018-12-12T17:25:05.7763328+00:00 BallTracking (-0.8001955, -0.06720123) 
2018-12-12T17:25:05.7846656+00:00 BallTracking (-0.8067598, -0.06720123) 
2018-12-12T17:25:05.7929984+00:00 BallTracking (-0.8133807, -0.06720123) 
2018-12-12T17:25:05.8013312+00:00 BallTracking (-0.820058, -0.06720123) 
2018-12-12T17:25:05.8097664+00:00 BallTracking (-0.8267921, -0.06720123) 
2018-12-12T17:25:05.8179840+00:00 BallTracking (-0.8335827, -0.06720123) 
2018-12-12T17:25:05.8263296+00:00 BallTracking (-0.8404299, -0.06720123) 
2018-12-12T17:25:05.8346752+00:00 BallTracking (-0.8473337, -0.06720123) 
2018-12-12T17:25:05.8430080+00:00 BallTracking (-0.8542941, -0.06720123) 
2018-12-12T17:25:05.8513280+00:00 BallTracking (-0.861311, -0.06720123) 
2018-12-12T17:25:05.8596864+00:00 BallTracking (-0.8683846, -0.06720123) 
2018-12-12T17:25:05.8685440+00:00 BallTracking (-0.8755147, -0.06720123) 
2018-12-12T17:25:05.8768768+00:00 BallTracking (-0.8827015, -0.06720123) 
2018-12-12T17:25:05.8852224+00:00 BallTracking (-0.8899448, -0.06720123) 
2018-12-12T17:25:05.8935552+00:00 BallTracking (-0.8972447, -0.06720123) 
2018-12-12T17:25:05.9019008+00:00 BallTracking (-0.9046012, -0.06720123) 
2018-12-12T17:25:05.9113472+00:00 BallTracking (-0.9120142, -0.06720123) 
2018-12-12T17:25:05.9185792+00:00 BallTracking (-0.919484, -0.06720123) 
2018-12-12T17:25:05.9268864+00:00 BallTracking (-0.9270102, -0.06720123) 
2018-12-12T17:25:05.9352192+00:00 BallTracking (-0.934593, -0.06720123) 
2018-12-12T17:25:05.9435904+00:00 BallTracking (-0.9331903, -0.06721069) 
2018-12-12T17:25:05.9518848+00:00 BallTracking (-0.9318441, -0.06722016) 
2018-12-12T17:25:05.9604480+00:00 BallTracking (-0.9305545, -0.06722963) 
2018-12-12T17:25:05.9685632+00:00 BallTracking (-0.9293215, -0.0672391) 
2018-12-12T17:25:05.9768832+00:00 BallTracking (-0.9281451, -0.06724857) 
2018-12-12T17:25:05.9852416+00:00 BallTracking (-0.9270252, -0.06725803) 
2018-12-12T17:25:05.9935616+00:00 BallTracking (-0.925962, -0.0672675) 
2018-12-12T17:25:06.0018944+00:00 BallTracking (-0.9249553, -0.06727697) 
2018-12-12T17:25:06.0102272+00:00 BallTracking (-0.9240053, -0.06728644) 
2018-12-12T17:25:06.0185600+00:00 BallTracking (-0.9231118, -0.0672959) 
2018-12-12T17:25:06.0268928+00:00 BallTracking (-0.9222749, -0.06730537) 
2018-12-12T17:25:06.0352256+00:00 BallTracking (-0.9214946, -0.06731484) 
2018-12-12T17:25:06.0435712+00:00 BallTracking (-0.9207709, -0.06732431) 
2018-12-12T17:25:06.0519040+00:00 BallTracking (-0.9201037, -0.06733377) 
2018-12-12T17:25:06.0602240+00:00 BallTracking (-0.9194932, -0.06734324) 
2018-12-12T17:25:06.0693120+00:00 BallTracking (-0.9189393, -0.06735271) 
2018-12-12T17:25:06.0769024+00:00 BallTracking (-0.9184419, -0.06736218) 
2018-12-12T17:25:06.0852608+00:00 BallTracking (-0.9180011, -0.06737165) 
2018-12-12T17:25:06.0935680+00:00 BallTracking (-0.917617, -0.06738111) 
2018-12-12T17:25:06.1019008+00:00 BallTracking (-0.9172894, -0.06739058) 
2018-12-12T17:25:06.1102464+00:00 BallTracking (-0.9170184, -0.06740005) 
2018-12-12T17:25:06.1188096+00:00 BallTracking (-0.916804, -0.06740952) 
